gene	log2FC	padj	typeReg	Condition
PFDSM3638_RS06810	-0.23844469961316914	0.3289908445238348	not significant	CS1
PFDSM3638_RS06815	-0.42273618029486676	0.01098693286421284	down	CS1
PFDSM3638_RS06820	-0.142235253802356	0.5338481719666044	not significant	CS1
PFDSM3638_RS06825	-0.09195256332278505	0.6302735584166701	not significant	CS1
PFDSM3638_RS06830	0.14925022327702583	0.5285267575814948	not significant	CS1
PFDSM3638_RS06835	0.25061522110133255	0.204408227251769	not significant	CS1
PFDSM3638_RS06840	0.3582587631274432	0.25313915788922403	not significant	CS1
PFDSM3638_RS06845	0.0052305230788452246	0.9907787648476222	not significant	CS1
PFDSM3638_RS06850	0.17025483559949503	0.5571448836805895	not significant	CS1
PFDSM3638_RS06855	0.05496475487326935	0.8776371559994481	not significant	CS1
PFDSM3638_RS06860	-0.631650445280473	0.0651343807176332	not significant	CS1
PFDSM3638_RS06865	0.09071720875600128	0.6972191439038858	not significant	CS1
PFDSM3638_RS06880	0.7750880128545127	3.520734471610751e-4	up	CS1
PFDSM3638_RS06890	-0.23615840302198304	0.09756133744427853	not significant	CS1
PFDSM3638_RS06895	-0.07967757225187286	0.630462465312382	not significant	CS1
PFDSM3638_RS06900	0.2492936361361365	0.1280488526679108	not significant	CS1
PFDSM3638_RS06905	0.6626876648734523	5.316696043281657e-5	up	CS1
PFDSM3638_RS06915	-0.13609981625255976	0.4663420849655225	not significant	CS1
PFDSM3638_RS06920	0.15749156606804315	0.37013256409184186	not significant	CS1
PFDSM3638_RS06925	-0.012003851856937104	0.9466870935614892	not significant	CS1
PFDSM3638_RS06930	-0.0729465757149713	0.637964668713898	not significant	CS1
PFDSM3638_RS06935	0.027742423852474607	0.9033166976719765	not significant	CS1
PFDSM3638_RS06940	0.31414728963356653	0.08817858955114333	not significant	CS1
PFDSM3638_RS06950	1.2781288680716	2.1310543877403112e-13	up	CS1
PFDSM3638_RS06955	0.9659816164161401	2.9033355392536426e-10	up	CS1
PFDSM3638_RS06960	0.5192911387533793	2.66037915375789e-4	up	CS1
PFDSM3638_RS06965	-0.4759161109233451	0.0015952245588483915	down	CS1
PFDSM3638_RS06970	0.0870475173195588	0.5698340102814379	not significant	CS1
PFDSM3638_RS06975	-0.06905087310795895	0.7702932076699068	not significant	CS1
PFDSM3638_RS06980	0.4384831567472358	0.12311773486781678	not significant	CS1
PFDSM3638_RS06985	0.850053542819291	0.0031218849172903254	up	CS1
PFDSM3638_RS06990	0.07425878625220023	0.7378125571079691	not significant	CS1
PFDSM3638_RS06995	0.2653042767514665	0.0931809866885257	not significant	CS1
PFDSM3638_RS07000	0.16202206973379144	0.33179577899533447	not significant	CS1
PFDSM3638_RS07005	-0.5021422800819912	0.005154507350515086	down	CS1
PFDSM3638_RS07010	-0.07886105505160454	0.536452368258081	not significant	CS1
PFDSM3638_RS07015	-0.006019024048391897	0.9758028159087034	not significant	CS1
PFDSM3638_RS07020	0.3208834803254752	0.005625597507831496	up	CS1
PFDSM3638_RS07025	0.5755032699098903	9.81832646818972e-4	up	CS1
PFDSM3638_RS07030	-0.0432867722138607	0.8413948120735649	not significant	CS1
PFDSM3638_RS07035	-0.48739406654273015	0.001867944251075916	down	CS1
PFDSM3638_RS07040	-0.22458812644057802	0.030861222836702066	down	CS1
PFDSM3638_RS07045	0.008626577804777864	0.9620903799265469	not significant	CS1
PFDSM3638_RS07050	0.16683179877968232	0.5609508881176106	not significant	CS1
PFDSM3638_RS07055	0.6355647423418953	0.0036634034036600355	up	CS1
PFDSM3638_RS07060	0.6570711864097682	9.439784596450173e-4	up	CS1
PFDSM3638_RS07065	0.5306168973917313	0.04501777807527046	up	CS1
PFDSM3638_RS07070	-0.0544241186821621	0.737653536072393	not significant	CS1
PFDSM3638_RS07075	0.18846358880669983	0.2158072387216738	not significant	CS1
PFDSM3638_RS07080	0.9972709243367244	2.1612971628067955e-6	up	CS1
PFDSM3638_RS07085	0.6408501544692141	0.006864526407470639	up	CS1
PFDSM3638_RS07090	0.4443389552732353	0.017389065206999513	up	CS1
PFDSM3638_RS07095	0.05682068105855797	0.7813924047003826	not significant	CS1
PFDSM3638_RS07100	-0.34030316434817465	0.044717967219396124	down	CS1
PFDSM3638_RS07110	0.16236705483596323	0.2697017370640717	not significant	CS1
PFDSM3638_RS07115	-0.01928337195673383	0.9300913705212224	not significant	CS1
PFDSM3638_RS07120	-0.07683806296108654	0.805068483939347	not significant	CS1
PFDSM3638_RS10790	0.30250649093128135	0.312316718296528	not significant	CS1
PFDSM3638_RS07130	0.40929005621316356	0.025102934899587613	up	CS1
PFDSM3638_RS07135	0.42746451363850696	0.027744776217276484	up	CS1
PFDSM3638_RS07140	0.8688726265398913	6.220985874546448e-5	up	CS1
PFDSM3638_RS07145	-1.2670844000530188	0.002000647654997107	down	CS1
PFDSM3638_RS07150	0.3842772466297124	0.015112213714256017	up	CS1
PFDSM3638_RS07155	0.14154221319973623	0.41542166724595825	not significant	CS1
PFDSM3638_RS07160	0.19400394015242917	0.36804092152750467	not significant	CS1
PFDSM3638_RS07165	0.32687553590886365	0.2038728741964572	not significant	CS1
PFDSM3638_RS07170	-0.03442013940400982	0.879274727421739	not significant	CS1
PFDSM3638_RS07175	0.1726456639105948	0.2733973886965116	not significant	CS1
PFDSM3638_RS07180	0.15497560733487115	0.2577708580807617	not significant	CS1
PFDSM3638_RS07185	0.21007482753546364	0.20532403541104063	not significant	CS1
PFDSM3638_RS07190	0.16975122231675632	0.3087230010999437	not significant	CS1
PFDSM3638_RS07195	0.14734979996608855	0.34492618635577177	not significant	CS1
PFDSM3638_RS07200	0.1669394669673915	0.2826263969319108	not significant	CS1
PFDSM3638_RS07205	0.10506963503374515	0.5130900027289971	not significant	CS1
PFDSM3638_RS07210	-0.04957820734709647	0.7829552430546721	not significant	CS1
PFDSM3638_RS07215	-0.3608345777502268	0.10790308925465077	not significant	CS1
