gene	CS-PFU-001	CS-PFU-002	CS-PFU-003	CS-PFU-004	CS-PFU-010	CS-PFU-011	CS-PFU-012	CS-PFU-013	CS-PFU-014	CS-PFU-016	CS-PFU-017	CS-PFU-018	CS-PFU-019	CS-PFU-020	CS-PFU-021	CS-PFU-024	CS-PFU-027	CS-PFU-028	CS-PFU-029	CS-PFU-030	HS-PFU-001	HS-PFU-002	HS-PFU-003	HS-PFU-004	HS-PFU-005	HS-PFU-006	HS-PFU-007	HS-PFU-009	HS-PFU-010	HS-PFU-011	HS-PFU-012	HS-PFU-018
PFDSM3638_RS01485	2204.7129171469774	1786.0929740475467	2289.493972330526	2291.7371630261096	3241.886823875024	3121.4938452781917	3013.827051875904	3427.7704734903596	3035.6132291427293	3863.6843519019085	2509.1202019786597	3289.2846282170917	3867.6950716631886	3615.3785109811697	7358.581979991594	3503.357085173776	1704.4599504755586	1572.42522737715	1671.3968360640943	1724.2680020469056	4330.205586503733	4459.892949406708	3775.462203974441	4133.635305143998	6759.105162352642	6628.906158750967	4926.610964335764	3566.548171928291	5411.45856620297	5410.134585615244	3973.25204819683	5546.192157375731
PFDSM3638_RS01495	1579.0511433620243	1584.2492175630173	1698.2080242922589	1755.3176525605902	2505.7178836156745	2434.311399588704	2414.6785484766247	1744.979282470045	1491.8410270748095	1594.1347527494524	1521.2128565366875	1524.973158509694	1455.017913999364	1400.2580241402386	1211.9397460781001	1772.3663240191822	1093.7032653022904	1219.1992705025727	1102.0374176720316	1184.558098967183	807.4219983946107	731.5062725251996	769.0211400145394	846.4821394529388	1726.868940869364	1564.0338512181806	1507.858618947159	1697.230638550181	1549.2890737622802	1439.0628362727525	1728.6490250590502	980.5090256531931
PFDSM3638_RS01500	759.2807384605273	646.7971041126475	743.4551258422332	779.8513790722384	1303.156198595743	1324.9331352621607	1092.1486498971121	852.0696709082454	784.4754767898655	813.6121204508805	821.1025380070614	736.6121672334735	773.3439717168201	671.0632045770408	1101.2843779579257	1279.2510092231832	655.6365693872784	744.7784838499148	657.0758553992431	671.1327690893952	560.8271472269722	591.7915683594043	573.8231720771754	601.8407612935413	974.7124212782925	792.8393023345877	651.9961878812014	930.4038709378151	709.2464844214957	726.2271292571872	864.3245125295251	984.5192875168054
PFDSM3638_RS01505	120.97933288193896	149.81292147962847	121.73534224317268	158.2307145943672	359.2661199136134	324.9530197187318	328.6667643318883	122.51982196066274	143.9909852081699	119.706089492175	117.46817424993726	226.40110518701712	218.4477297157222	192.75219705936277	313.52354300716064	342.5353974855289	204.88642793352452	266.21428421339095	215.30398174489764	226.04732953663702	164.8662719235069	178.6352288976954	194.2170736261209	184.91672245851174	224.6166044806213	226.06742493261248	186.01620345890183	261.9124717985516	208.1684486743611	250.31658497800922	258.99265651589764	300.76963977091816
PFDSM3638_RS01510	6736.923746007676	7881.774419880334	7065.867079057294	7701.1410432796965	10054.878879691365	9841.781607192013	9177.508309286604	7160.912321412977	6950.122253244616	7630.046679826439	6606.410119816472	8814.280170155978	8371.229070891783	8119.048893066598	9629.651678077078	9027.333871554265	8183.749321459065	8038.221188700054	8551.555186045489	9162.80221819438	8715.366596981967	8820.987643724746	8492.582946742195	9207.933937576949	13828.346095112012	13455.821728701774	11887.186981643863	10507.70144078449	12401.681384741581	13155.527188288706	11349.972300255515	12882.966236854327
PFDSM3638_RS01515	2232.700673261456	2920.0063438095253	2507.748050209357	2510.8258447721564	2293.424267303085	2187.962975662284	2166.9990490399146	2710.2869706449633	2450.994092477865	2487.5509328617827	2257.7383090837943	2815.4594580756916	2518.0001702053337	2922.898395619755	3785.9943806831084	2162.381875611616	2660.59661416534	2167.0049905619217	2473.6035236024904	2539.089771306876	2964.774667752637	2627.634400489564	2399.2674853004632	2720.9174876038155	3010.686781157686	3368.56496300297	2864.4616381120795	3577.8945605982644	3974.5436107516284	3983.4330621809117	3380.1080819015974	3843.835996272334
PFDSM3638_RS01520	2234.5063349462607	2818.6359238861837	2515.5738936392754	2489.0908565037	1463.8461358661957	1443.2452072794547	1541.116885383974	2616.5407432356687	2489.5490557303256	2543.0244865288882	2260.0876725687926	2481.517827924841	2231.287524953448	2407.872683900294	1683.5423863997955	1340.2969216463468	2083.9876669809923	1927.72289074366	2022.2625840928163	2127.2981244765683	2353.2194368568935	2309.2844674260737	1932.3617931487786	2131.710788093154	2134.8880939626024	2535.6427839072812	1942.8359027929748	2985.9912849813213	3107.7891408287355	3059.4249275090015	2598.05182497124	3289.4172936279415
PFDSM3638_RS01525	1295.56225884763	1693.69338774574	1522.5613161985382	1497.1059919313204	2170.620575405341	1787.6467867818512	1919.3195496032042	1147.2310601771146	1097.6361987180164	779.5494120587982	1317.992915084296	1389.9410707731515	1542.7870911172881	2079.4800518732313	1504.3860761099895	1383.0290603425613	819.5457117340981	888.7620850392586	1001.5622261910794	870.8955254240976	2113.670152865473	1349.2448573725374	1659.673174623215	1411.569266469012	953.0750419475904	893.0464942373414	1757.759175109118	918.1119498786774	947.8112109996351	916.7973688494988	962.8432877532194	1479.7866276729173
PFDSM3638_RS01530	881.1629021848689	1119.560035967523	952.1442839733863	1011.1116542486212	1038.6056921139004	969.1865625526265	985.214008870469	866.9205584186287	771.0992650492159	612.1555308177079	792.9101761870764	1042.2536592359468	960.5848829017249	1140.195536044273	943.2052806433909	786.8139823429971	1221.5133703465367	1236.8087756840032	1291.8238904693858	1342.2655381787904	1028.6528077278635	670.6305799958174	809.2378067755037	809.7285051754707	436.86899220084143	626.8961925436275	769.4306597618213	1051.4320167508642	858.464575949135	1050.7115912657177	824.7138709447407	1044.6732154709891
PFDSM3638_RS01535	31516.921877429904	29397.421777769014	27654.791605013314	33748.35098419861	23262.807869970024	23139.734359272785	21203.72400415797	26481.91697242173	24681.47116945286	25420.512662891146	32166.31015486032	24947.784640857953	25385.771661740913	21502.578427511136	28119.63676063383	24804.310793362984	29055.822429944255	34363.395581692734	27364.338657621876	28276.943850641175	16403.489499671316	16593.117044033417	16370.145160335009	16827.421743724568	18341.28521265844	18188.006159117416	16893.65338685845	26854.06538465944	24455.18722258534	25013.11652854329	23049.330772438356	14750.745699831728
